# t_rel rawcounts delta velocity arc_volts torch_on arc_ok
36.462 336807 410 3125 0 ==> <==
36.598 337211 404 3128.259 0 ==> <==
36.706 337530 319 3134.796 0 ==> <==
36.801 337865 335 3129.89 0 ==> <==
36.918 338202 337 3128.259 -0.012 ==> <==
37.025 338543 341 3128.259 0 ==> <==
37.128 338888 345 3128.259 0 ==> <==
37.238 339254 366 3125 0 ==> <==
37.362 339629 375 3125 0 ==> <==
37.479 340001 372 3125 0 ==> <==
37.613 340380 379 3128.259 0 ==> <==
37.722 340743 363 3128.259 0 ==> <==
37.831 341077 334 3128.259 0 ==> <==
37.935 341384 307 3128.259 0 ==> <==
38.032 341731 347 3125 0 ==> <==
38.146 342091 360 3134.796 0 ==> <==
38.267 342432 341 3125 0 ==> <==
38.372 342786 354 3131.524 0 ==> <==
38.486 343120 334 3128.259 0 ==> <==
38.592 343443 323 3125 0 ==> <==
38.693 343787 344 3131.524 0 ==> <==
38.801 344133 346 3350.084 2.679 ==> <==
38.911 344471 338 3340.757 2.633 ==> <==
39.007 344799 328 3347.28 2.679 ==> <==
39.110 345109 310 3351.955 2.749 ==> <==
39.194 345390 281 3344.482 2.679 ==> <==
39.277 345681 291 3344.482 2.679 ==> <==
39.364 345958 277 2339.181 -9.786 ==> <==
39.448 346048 90 1506.024 -20.117 ==> <==
39.530 346284 236 8653.846 68.516 ==> <==
39.617 346468 184 25.93866 -38.462 ==> <==
39.705 346468 0 8.223853 -38.69 ==> <==
39.792 346468 0 4.794806 -38.733 ==> <==
39.881 346468 0 3.315694 -38.751 ==> <==
39.976 346468 0 2.521566 -38.761 ==> <==
40.068 346468 0 2.063739 -38.767 ==> <==
40.159 346468 0 0 -38.792 ==> <==
40.259 346468 0 0 -38.792 ==> <==
40.368 346468 0 0 -38.792 ==> <==
40.482 346468 0 0 -38.792 ==> <==
40.601 346468 0 0 -38.792 ==> <==
40.700 346468 0 0 -38.792 ==> <==
40.789 346468 0 0 -38.792 ==> <==
40.887 346468 0 0 -38.792 ==> <==
40.978 346468 0 0 -38.792 ==> <==
41.086 346468 0 0 -38.792 ==> <==
41.196 346468 0 0 -38.792 ==> <==
41.294 346729 261 3134.796 0 ==> <==
41.381 347034 305 3131.524 0 ==> <==
41.486 347404 370 3141.361 0 ==> <==
41.616 347811 407 3141.361 0 ==> <==
41.749 348213 402 3147.954 0.242 ==> <==
41.861 348536 323 3131.524 0 ==> <==
41.967 348862 326 3128.259 0 ==> <==
42.067 349185 323 3141.361 0.14 ==> <==
42.178 349561 376 3144.654 0.202 ==> <==
42.290 349915 354 3131.524 0 ==> <==
42.418 350282 367 3147.954 0.242 ==> <==
42.528 350633 351 3138.075 0 ==> <==
42.628 350947 314 3134.796 0 ==> <==
42.729 351245 298 3129.89 0 ==> <==
42.851 351636 391 3134.796 0 ==> <==
42.951 351988 352 3129.89 0 ==> <==
43.062 352292 304 3141.361 0.161 ==> <==
43.165 352612 320 3129.89 0 ==> <==
43.260 352928 316 3128.259 0 ==> <==
43.368 353298 370 3134.796 0 ==> <==
43.489 353624 326 3131.524 0 ==> <==
43.600 353966 342 3128.259 0 ==> <==
43.694 354292 326 3151.261 0.283 ==> <==
43.796 354643 351 3138.075 0 ==> <==
43.916 354988 345 3141.361 0.161 ==> <==
44.021 355292 304 3147.954 0.242 ==> <==
44.119 355618 326 3131.524 0 ==> <==
44.230 356004 386 3128.259 0 ==> <==
44.352 356342 338 3128.259 0.242 ==> <==
44.479 356750 408 3131.524 0 ==> <==
44.581 357051 301 3147.954 0.242 ==> <==
44.683 357412 361 3127.443 0 ==> <==
44.797 357791 379 3125 0 ==> <==
44.917 358105 314 3127.443 0 ==> <==
45.011 358409 304 3128.259 0 ==> <==
45.113 358763 354 3128.259 0 ==> <==
45.230 359108 345 3128.259 0 ==> <==
45.350 359472 364 3132.341 0 ==> <==
45.469 359838 366 3141.361 0.14 ==> <==
45.564 360158 320 3138.075 0.161 ==> <==
45.666 360475 317 3131.524 0 ==> <==
45.767 360773 298 3134.796 0 ==> <==
45.870 361096 323 3141.361 0.161 ==> <==
45.970 361450 354 3131.524 0 ==> <==
46.082 361801 351 3128.259 0 ==> <==
46.199 362133 332 3134.796 0 ==> <==
46.308 362484 351 3128.259 0 ==> <==
46.411 362797 313 3131.524 0 ==> <==
46.511 363147 350 3131.524 0 ==> <==
46.629 363495 348 3128.259 0 ==> <==
46.744 363861 366 3128.259 0 ==> <==
46.848 364149 288 3128.259 0 ==> <==
46.944 364471 322 3121.748 0 ==> <==
47.053 364831 360 3128.259 0 ==> <==
47.176 365190 359 3134.796 0 ==> <==
47.290 365550 360 3128.259 0 ==> <==
47.396 365860 310 3128.259 0 ==> <==
47.492 366232 372 3128.259 0 ==> <==
47.668 366767 535 3128.259 0 ==> <==
47.780 367102 335 3125 0 ==> <==
47.886 367415 313 3125 0 ==> <==
47.989 367756 341 3131.524 0 ==> <==
48.095 368062 306 3134.796 0 ==> <==
48.215 368441 379 3134.796 0 ==> <==
48.330 368804 363 3128.259 0 ==> <==
48.429 369098 294 3125 0 ==> <==
48.529 369458 360 3128.259 0 ==> <==
48.645 369805 347 3128.259 0 ==> <==
48.750 370105 300 3128.259 0 ==> <==
48.844 370409 304 3121.748 0 ==> <==
48.943 370731 322 3128.259 0 ==> <==
49.046 371041 310 3125 0 ==> <==
49.157 371382 341 3134.796 0 ==> <==
49.258 371729 347 3128.259 0 ==> <==
49.363 372060 331 3128.259 0 ==> <==
49.481 372395 335 3128.259 0 ==> <==
49.592 372752 357 3134.796 0 ==> <==
49.694 373052 300 3128.259 0 ==> <==
49.794 373390 338 3128.259 0 ==> <==
49.897 373712 322 3128.259 0 ==> <==
50.003 374035 323 3122.56 0 ==> <==
50.101 374382 347 3134.796 0 ==> <==
50.226 374723 341 3121.748 0 ==> <==
50.338 375070 347 3131.524 0 ==> <==
50.436 375380 310 3134.796 0 ==> <==
50.533 375708 328 3128.259 0 ==> <==
50.646 376040 332 3125 0 ==> <==
50.756 376403 363 3131.524 0 ==> <==
50.861 376741 338 3128.259 0 ==> <==
